#
 0,            exploit24,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 0,            EXPLORE24,  0.00,  0.02, *                   |                   ,  0.00,  0.03
 0,            exploit34,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,            EXPLORE34,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 2,            exploit44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 3,            EXPLORE44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 4,            EXPLORE14,  0.02,  0.03, * --                |                   ,  0.00,  0.12
 4,            random,34,  0.02,  0.02, *-                  |                   ,  0.00,  0.05
#
 5,            random,44,  0.02,  0.02, *-                  |                   ,  0.00,  0.05
#
 6,            random,14,  0.03,  0.02,  *                  |                   ,  0.00,  0.10
#
 7,            exploit14,  0.03,  0.03,  *--                |                   ,  0.00,  0.12
 7,            random,24,  0.03,  0.02,  *                  |                   ,  0.00,  0.05
#
 8,         baseline,192,  0.22,  0.38,   ---   *           |--------           ,  0.00,  1.00
