#
 0,            EXPLORE44,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,            exploit34,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,            exploit44,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,            EXPLORE34,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,            EXPLORE24,  0.00,  0.01, *                   |                   ,  0.00,  0.04
 0,            exploit24,  0.00,  0.01, *                   |                   ,  0.00,  0.02
 0,            random,44,  0.01,  0.00, *                   |                   ,  0.00,  0.01
 0,            random,34,  0.01,  0.01, *                   |                   ,  0.00,  0.03
 0,            exploit14,  0.01,  0.01, *                   |                   ,  0.00,  0.04
 0,            random,14,  0.01,  0.01, *                   |                   ,  0.00,  0.02
 0,            random,24,  0.01,  0.01, *                   |                   ,  0.00,  0.02
 0,            EXPLORE14,  0.01,  0.01, *                   |                   ,  0.00,  0.04
 0,        baseline,3456,  0.03,  0.03, -*---------------   |                   ,  0.00,  0.73
