#
 0,            random,44,  0.12,  0.03,   -- *-             |                   ,  0.05,  0.18
 0,            EXPLORE44,  0.13,  0.02,   ---*-             |                   ,  0.00,  0.19
 0,            EXPLORE34,  0.14,  0.04,   ---*--            |                   ,  0.00,  0.21
#
 1,            exploit24,  0.14,  0.05,   --- *-            |                   ,  0.00,  0.26
 1,            random,34,  0.15,  0.04,       *--           |                   ,  0.11,  0.24
 1,            exploit44,  0.15,  0.03,   --- *             |                   ,  0.00,  0.18
#
 2,            random,24,  0.15,  0.03,      -*---          |                   ,  0.09,  0.26
 2,            exploit14,  0.15,  0.05,    ---* ----        |                   ,  0.02,  0.30
 2,            exploit34,  0.15,  0.05, ----- *-            |                   ,  0.00,  0.22
 2,            EXPLORE24,  0.15,  0.04,    -- *--           |                   ,  0.00,  0.24
 2,            random,14,  0.17,  0.06,    ----* -          |                   ,  0.04,  0.28
 2,            EXPLORE14,  0.18,  0.10,      - *  --        |                   ,  0.00,  0.33
#
 3,        baseline,4653,  0.48,  0.13,                ---  *  ----------       ,  0.18,  0.92
