#
 0,            exploit34,  0.02,  0.02,  *---               |                   ,  0.00,  0.06
 0,            exploit44,  0.02,  0.02,  *---               |                   ,  0.00,  0.07
#
 1,            exploit24,  0.04,  0.05, -  *  ---           |                   ,  0.00,  0.12
 1,            random,34,  0.04,  0.02, -- *-               |                   ,  0.01,  0.07
 1,            exploit14,  0.04,  0.07,  - *    --          |                   ,  0.01,  0.15
 1,            EXPLORE34,  0.04,  0.04,    * ---            |                   ,  0.02,  0.10
 1,            random,44,  0.05,  0.03,  -  *--             |                   ,  0.01,  0.09
#
 2,            EXPLORE24,  0.05,  0.06,     *  --           |                   ,  0.02,  0.16
 2,            random,24,  0.06,  0.02,    - *--            |                   ,  0.02,  0.11
 2,            EXPLORE44,  0.06,  0.06,  --  *  --          |                   ,  0.00,  0.13
#
 3,            EXPLORE14,  0.08,  0.02,   --- *---          |                   ,  0.00,  0.13
 3,            random,14,  0.08,  0.03,    -  *--           |                   ,  0.04,  0.13
#
 4,        baseline,1343,  0.20,  0.10,          ---     *  |-------            ,  0.02,  0.47
