#
 0,            exploit24,  0.00,  0.00, *--------           |                   ,  0.00,  0.28
 0,            exploit34,  0.00,  0.00, *-                  |                   ,  0.00,  0.14
 0,            exploit44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,            EXPLORE34,  0.06,  0.16, --*      ---        |                   ,  0.00,  0.41
 1,            EXPLORE44,  0.06,  0.14,   *  -------        |                   ,  0.00,  0.36
#
 2,            random,34,  0.13,  0.10,   -  * --           |                   ,  0.00,  0.29
#
 3,            random,24,  0.19,  0.09,   ---  * ---        |                   ,  0.00,  0.37
 3,            random,44,  0.19,  0.16, --     * ---        |                   ,  0.00,  0.29
#
 4,            EXPLORE24,  0.23,  0.09,    ----  * -        |                   ,  0.00,  0.34
 4,            random,14,  0.23,  0.14, -----    * -----    |                   ,  0.00,  0.49
 4,            exploit14,  0.24,  0.30,           * ------  |                   ,  0.00,  0.61
#
 5,            EXPLORE14,  0.29,  0.11,             * ---   |                   ,  0.09,  0.46
#
 6,         baseline,206,  0.56,  0.23,             ------  |  *    -----       ,  0.00,  0.95
