#
 0,            exploit44,  0.05,  0.01,     -*--------------|--                 ,  0.00,  0.23
 0,            exploit34,  0.06,  0.01,     - *---          |                   ,  0.00,  0.22
 0,            exploit24,  0.06,  0.04,       *  -----------|---                ,  0.04,  0.25
 0,            random,44,  0.06,  0.02,       * -           |                   ,  0.00,  0.09
#
 1,            random,34,  0.07,  0.02,      - *-           |                   ,  0.04,  0.09
 1,            exploit14,  0.07,  0.02,      - * -----------|--                 ,  0.05,  0.26
#
 2,            EXPLORE34,  0.07,  0.01,       -*----        |                   ,  0.05,  0.14
 2,            EXPLORE44,  0.08,  0.05,         *  ---      |                   ,  0.00,  0.20
 2,            random,24,  0.08,  0.01,       - *           |                   ,  0.05,  0.10
 2,            random,14,  0.08,  0.02,         *-          |                   ,  0.06,  0.12
 2,            EXPLORE24,  0.08,  0.02,      -- *---        |                   ,  0.05,  0.24
#
 3,            EXPLORE14,  0.09,  0.02,        --* ---      |                   ,  0.07,  0.15
#
 4,        baseline,1512,  0.13,  0.07,          --  *    --|--------           ,  0.00,  0.38
