#
 0,            exploit44,  0.32,  0.05, *  -----            |                   ,  0.32,  0.45
#
 1,            exploit24,  0.35,  0.07,   * -----           |                   ,  0.32,  0.52
 1,            exploit34,  0.35,  0.08,   *   --            |                   ,  0.32,  0.45
#
 2,            random,44,  0.37,  0.03, -- *--              |                   ,  0.32,  0.46
 2,            EXPLORE44,  0.37,  0.05,    *  ----          |                   ,  0.35,  0.50
 2,            random,34,  0.37,  0.02, --  *-              |                   ,  0.32,  0.41
#
 3,            EXPLORE34,  0.38,  0.05,   - *  -----        |                   ,  0.32,  0.49
 3,            exploit14,  0.40,  0.08, ---   *  ---        |                   ,  0.32,  0.49
 3,            random,24,  0.40,  0.04,   --  *--           |                   ,  0.32,  0.46
 3,            EXPLORE14,  0.41,  0.10,   -    *   ---      |                   ,  0.32,  0.54
 3,            EXPLORE24,  0.41,  0.07,     -  *  ----      |                   ,  0.32,  0.52
 3,            random,14,  0.42,  0.07,    -   * ---        |                   ,  0.32,  0.50
#
 4,         baseline,196,  0.53,  0.09,         -----  *   -|-------            ,  0.32,  0.86
