#
 0,            exploit44,  0.17,  0.09,    *   ----         |                   ,  0.12,  0.30
 0,            random,34,  0.19,  0.05, --- * -             |                   ,  0.12,  0.25
 0,            random,44,  0.19,  0.04,   - * --            |                   ,  0.12,  0.28
 0,            exploit24,  0.21,  0.06, ---  *  --          |                   ,  0.12,  0.29
 0,            random,24,  0.21,  0.06,  --   * ---         |                   ,  0.12,  0.29
 0,            exploit14,  0.22,  0.07, ---   * --          |                   ,  0.12,  0.28
#
 1,            EXPLORE24,  0.22,  0.07, ----- *   ---       |                   ,  0.12,  0.36
 1,            exploit34,  0.22,  0.12, -     *  --         |                   ,  0.12,  0.36
 1,            EXPLORE44,  0.23,  0.09, ----   *  ----      |                   ,  0.12,  0.37
 1,            random,14,  0.24,  0.05,     --  * ----      |                   ,  0.19,  0.35
#
 2,            EXPLORE34,  0.25,  0.08, ----    *-------    |                   ,  0.12,  0.39
 2,            EXPLORE14,  0.27,  0.02,       --- *--       |                   ,  0.14,  0.34
#
 3,         baseline,756,  0.39,  0.18,           ----    * |     ------------- ,  0.12,  0.71
