#
 0,            exploit44,  0.35,  0.07, *    --             |                   ,  0.35,  0.45
#
 1,            random,44,  0.37,  0.05,  * --               |                   ,  0.35,  0.44
 1,            EXPLORE44,  0.38,  0.07,   *  ---            |                   ,  0.35,  0.50
#
 2,            EXPLORE24,  0.39,  0.06,    * -------        |                   ,  0.35,  0.52
 2,            random,34,  0.39,  0.01, -- *---             |                   ,  0.35,  0.45
#
 3,            exploit34,  0.40,  0.09,    *                |                   ,  0.35,  0.48
 3,            EXPLORE34,  0.40,  0.10, -  *     --         |                   ,  0.35,  0.53
 3,            random,24,  0.40,  0.03, --- * --            |                   ,  0.35,  0.49
 3,            random,14,  0.41,  0.06, --- *   --          |                   ,  0.35,  0.48
#
 4,            EXPLORE14,  0.41,  0.08,  --  *   ---        |                   ,  0.35,  0.52
 4,            exploit24,  0.41,  0.10,      * -            |                   ,  0.35,  0.53
#
 5,            exploit14,  0.45,  0.02,    ----*            |                   ,  0.35,  0.48
#
 6,         baseline,196,  0.53,  0.11,        -----  *     |-----              ,  0.35,  0.88
