#
 0,            EXPLORE34,  0.35,  0.11, -*      ---         |                   ,  0.33,  0.51
 0,            random,44,  0.35,  0.04, -* --               |                   ,  0.33,  0.45
 0,            exploit44,  0.35,  0.10,  *                  |                   ,  0.33,  0.46
#
 1,            random,34,  0.41,  0.03, --- *-              |                   ,  0.33,  0.44
 1,            EXPLORE44,  0.41,  0.08, -   *               |                   ,  0.33,  0.49
#
 2,            EXPLORE24,  0.42,  0.04,  --  *-----         |                   ,  0.33,  0.53
 2,            EXPLORE14,  0.43,  0.06,   -   *----         |                   ,  0.33,  0.52
 2,            random,14,  0.43,  0.06,  --   *---          |                   ,  0.33,  0.50
#
 3,            random,24,  0.43,  0.02,  ---- *-            |                   ,  0.33,  0.47
 3,            exploit14,  0.43,  0.01,   ----*-            |                   ,  0.35,  0.51
 3,            exploit24,  0.43,  0.05,  --   *---          |                   ,  0.33,  0.53
 3,            exploit34,  0.43,  0.08,       *             |                   ,  0.33,  0.44
#
 4,         baseline,196,  0.54,  0.14,        ----  *      |---                ,  0.33,  0.93
