#
 0,            exploit34,  0.23,  0.09, *   ------          |                   ,  0.23,  0.61
 0,            exploit44,  0.23,  0.00, *                   |                   ,  0.23,  0.23
#
 1,            exploit24,  0.23,  0.15, *       --          |                   ,  0.23,  0.70
 1,            random,34,  0.23,  0.15, *       ---         |                   ,  0.23,  0.45
 1,            EXPLORE34,  0.23,  0.22, *          ---------|-                  ,  0.23,  0.64
 1,            EXPLORE44,  0.23,  0.16, *       -----       |                   ,  0.23,  0.51
 1,            exploit14,  0.31,  0.19,     *     ----------|                   ,  0.23,  0.64
 1,            EXPLORE24,  0.31,  0.09,     *---------------|-------            ,  0.23,  0.76
#
 2,            random,44,  0.31,  0.15,     *               |                   ,  0.23,  0.42
#
 3,            random,24,  0.38,  0.07, ----    *-----      |                   ,  0.23,  0.64
#
 4,            EXPLORE14,  0.45,  0.08, --------   *--------|                   ,  0.23,  0.64
 4,            random,14,  0.45,  0.08,     ----   *---     |                   ,  0.23,  0.58
#
 5,         baseline,259,  0.72,  0.16,             --------|     *  ---------- ,  0.23,  0.97
