#
 0,            exploit44,  0.00,  0.20, *         --        |                   ,  0.00,  0.24
 0,            random,44,  0.03,  0.04,  *-----------       |                   ,  0.00,  0.27
 0,            exploit24,  0.03,  0.21,  *         --       |                   ,  0.00,  0.27
 0,            random,34,  0.05,  0.05, - *----------       |                   ,  0.00,  0.27
 0,            EXPLORE44,  0.05,  0.19, - *        ----     |                   ,  0.00,  0.33
#
 1,            EXPLORE34,  0.06,  0.19,    *      ----      |                   ,  0.00,  0.30
 1,            random,14,  0.14,  0.20, --     *     --     |                   ,  0.01,  0.30
 1,            exploit14,  0.20,  0.22, -         *  --     |                   ,  0.00,  0.30
 1,            random,24,  0.21,  0.17, ---        *--      |                   ,  0.00,  0.29
 1,            EXPLORE24,  0.21,  0.23, -          * ---    |                   ,  0.00,  0.35
 1,            EXPLORE14,  0.23,  0.16, -----       *--     |                   ,  0.00,  0.30
 1,            exploit34,  0.23,  0.03, ----------  *       |                   ,  0.00,  0.26
#
 2,        baseline,1080,  0.33,  0.09,            ----  *  |-----              ,  0.00,  0.75
