#
 0,            exploit44,  0.04,  0.01,  *--------          |                   ,  0.02,  0.20
 0,            exploit34,  0.05,  0.01, -*-                 |                   ,  0.02,  0.49
#
 1,            exploit24,  0.06,  0.14, - *      -------    |                   ,  0.02,  0.58
 1,            random,34,  0.06,  0.02,   *                 |                   ,  0.04,  0.09
 1,            random,44,  0.07,  0.01,  -*                 |                   ,  0.04,  0.22
#
 2,            exploit14,  0.08,  0.15,    *      -----     |                   ,  0.04,  0.33
 2,            random,24,  0.09,  0.05,  - * -------        |                   ,  0.05,  0.24
#
 3,            EXPLORE14,  0.15,  0.21,        *        ----|-------            ,  0.08,  0.58
 3,            EXPLORE44,  0.17,  0.21,  --     *      -----|-------            ,  0.03,  0.59
 3,            random,14,  0.25,  0.19,   --         * --   |                   ,  0.06,  0.34
 3,            EXPLORE34,  0.26,  0.18,   ----       *  ----|-------            ,  0.02,  0.58
 3,            EXPLORE24,  0.28,  0.37,  ---           *    |     ------        ,  0.04,  0.60
#
 4,        baseline,3840,  0.60,  0.03,                     |            *----- ,  0.56,  0.71
