#
 0,            exploit44,  0.07,  0.07,    * ----------     |                   ,  0.01,  0.31
 0,            exploit34,  0.10,  0.09,      * -----------  |                   ,  0.01,  0.34
 0,            exploit24,  0.11,  0.13,  --  *    ----------|-                  ,  0.02,  0.43
 0,            random,34,  0.11,  0.08,  --  * ---          |                   ,  0.03,  0.21
 0,            random,44,  0.11,  0.06,   -- *  -----       |                   ,  0.05,  0.30
 0,            EXPLORE44,  0.13,  0.12,    -- *    -------- |                   ,  0.04,  0.42
#
 1,            random,24,  0.16,  0.15,    --   *    ---    |                   ,  0.02,  0.33
#
 2,            random,14,  0.26,  0.16,  --------     *    -|                   ,  0.02,  0.39
#
 3,            exploit14,  0.27,  0.12,      ------   *   --|                   ,  0.07,  0.52
 3,            EXPLORE34,  0.31,  0.13,    -------       *--|-                  ,  0.03,  0.47
#
 4,            EXPLORE24,  0.34,  0.11,    ----------     * |-                  ,  0.04,  0.48
 4,            EXPLORE14,  0.34,  0.12,      --------     * |----               ,  0.11,  0.51
#
 5,        baseline,2880,  0.67,  0.03,                     |             -- *- ,  0.43,  0.71
