#
 0,            exploit34,  0.16,  0.01, *------------       |                   ,  0.16,  0.44
 0,            exploit44,  0.16,  0.01, *                   |                   ,  0.16,  0.18
 0,            EXPLORE44,  0.16,  0.01, *--                 |                   ,  0.16,  0.38
 0,            exploit24,  0.17,  0.03, *---------------    |                   ,  0.16,  0.54
 0,            EXPLORE34,  0.17,  0.03, * ---------------   |                   ,  0.16,  0.46
 0,            random,44,  0.18,  0.02,  *                  |                   ,  0.16,  0.21
#
 1,            exploit14,  0.19,  0.19, -*          ------- |                   ,  0.16,  0.49
 1,            EXPLORE24,  0.19,  0.20, -*           ----   |                   ,  0.16,  0.52
 1,            random,24,  0.19,  0.02, - *-----------      |                   ,  0.16,  0.42
 1,            random,34,  0.20,  0.02,   *-                |                   ,  0.16,  0.36
 1,            random,14,  0.22,  0.18,  - *         ---    |                   ,  0.16,  0.56
#
 2,            EXPLORE14,  0.35,  0.23,            *   -----|--                 ,  0.16,  0.59
#
 3,        baseline,1023,  0.65,  0.30,    -------------    |        *    ---   ,  0.16,  0.83
