#
 0,            EXPLORE34,  0.00,  0.00, *                   |                   ,  0.00,  0.10
 0,            exploit44,  0.00,  0.00, *--                 |                   ,  0.00,  0.10
 0,            EXPLORE44,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,            exploit34,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,            exploit24,  0.00,  0.00, *--                 |                   ,  0.00,  0.10
 0,            EXPLORE24,  0.00,  0.00, *--                 |                   ,  0.00,  0.10
#
 1,            random,44,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 2,            random,34,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 2,            exploit14,  0.01,  0.00, *--                 |                   ,  0.00,  0.10
 2,            random,24,  0.01,  0.00, *                   |                   ,  0.00,  0.05
 2,            EXPLORE14,  0.01,  0.01, *                   |                   ,  0.00,  0.10
 2,            random,14,  0.01,  0.01, *                   |                   ,  0.00,  0.03
 2,         baseline,864,  0.12,  0.21, ----*        -------|----------------   ,  0.00,  0.97
