#
 0,            random,44,  0.13,  0.02,      --*-----       |                   ,  0.09,  0.20
 0,            random,24,  0.13,  0.06,       - *   -       |                   ,  0.09,  0.20
 0,            random,34,  0.14,  0.06,      -- *  --       |                   ,  0.09,  0.20
#
 1,            EXPLORE24,  0.17,  0.04,       --- * -       |                   ,  0.06,  0.20
 1,            exploit44,  0.18,  0.00,        -----*       |                   ,  0.10,  0.19
 1,            exploit34,  0.18,  0.00,         ----*       |                   ,  0.05,  0.19
#
 2,            EXPLORE44,  0.18,  0.00,         ----*       |                   ,  0.08,  0.20
 2,            exploit14,  0.18,  0.00,            -*       |                   ,  0.13,  0.20
 2,            exploit24,  0.18,  0.00,         ----*       |                   ,  0.10,  0.20
 2,            EXPLORE34,  0.19,  0.02,      ------ *--     |                   ,  0.09,  0.23
 2,            EXPLORE14,  0.19,  0.01,          ---*--     |                   ,  0.12,  0.23
 2,            random,14,  0.19,  0.03,       ----- *-      |                   ,  0.03,  0.22
#
 3,       baseline,53662,  0.28,  0.06,                  --*|   -----           ,  0.12,  0.53
