#
 0,            exploit34,  0.15,  0.06,  * -                |                   ,  0.12,  0.22
 0,            exploit44,  0.15,  0.04, -*---               |                   ,  0.12,  0.23
 0,            random,44,  0.16,  0.03, -*--                |                   ,  0.12,  0.22
#
 1,            exploit24,  0.17,  0.04,   * --              |                   ,  0.12,  0.31
 1,            random,34,  0.18,  0.04,   *---              |                   ,  0.14,  0.28
 1,            EXPLORE44,  0.18,  0.07, - *  -              |                   ,  0.12,  0.32
#
 2,            EXPLORE24,  0.18,  0.07,  - * --             |                   ,  0.12,  0.36
 2,            random,24,  0.19,  0.03,  - *-               |                   ,  0.13,  0.23
 2,            EXPLORE34,  0.20,  0.06,  - * ----           |                   ,  0.12,  0.33
#
 3,            random,14,  0.20,  0.10,  - *   -            |                   ,  0.13,  0.32
 3,            exploit14,  0.21,  0.10, -   * ---           |                   ,  0.12,  0.33
 3,            EXPLORE14,  0.24,  0.07,      *--            |                   ,  0.12,  0.35
#
 4,         baseline,972,  0.42,  0.10,          ---  *  ---|--                 ,  0.21,  0.93
