#
 0,            exploit34,  0.05,  0.00, *----               |                   ,  0.04,  0.12
 0,            random,44,  0.05,  0.00, *                   |                   ,  0.04,  0.07
 0,            exploit44,  0.05,  0.05, *   ---             |                   ,  0.04,  0.15
 0,            random,34,  0.06,  0.01, *-                  |                   ,  0.04,  0.08
#
 1,            EXPLORE34,  0.06,  0.02, *----               |                   ,  0.04,  0.14
 1,            EXPLORE44,  0.07,  0.05,  *  ---             |                   ,  0.04,  0.16
 1,            random,24,  0.07,  0.02, -*----              |                   ,  0.05,  0.15
 1,            exploit24,  0.07,  0.06,  *   --             |                   ,  0.04,  0.16
 1,            random,14,  0.07,  0.05, - *  ---            |                   ,  0.04,  0.18
 1,            EXPLORE24,  0.08,  0.06, - *  -----          |                   ,  0.05,  0.19
#
 2,            exploit14,  0.11,  0.07, -   * ---           |                   ,  0.05,  0.19
 2,            EXPLORE14,  0.12,  0.06, -    *---           |                   ,  0.05,  0.17
#
 3,        baseline,2736,  0.17,  0.06,  -----   * ---------|---------          ,  0.04,  0.59
