#
 0,            exploit44,  0.16,  0.02, ---* -              |                   ,  0.12,  0.19
 0,            exploit34,  0.17,  0.02,  -- *-              |                   ,  0.13,  0.19
#
 1,            random,44,  0.17,  0.01,    --*              |                   ,  0.13,  0.19
 1,            EXPLORE44,  0.17,  0.01,    - *              |                   ,  0.13,  0.19
 1,            EXPLORE24,  0.18,  0.01,     -*-             |                   ,  0.16,  0.20
#
 2,            exploit24,  0.18,  0.02,     - *-----        |                   ,  0.16,  0.25
 2,            random,34,  0.18,  0.01,     - *-            |                   ,  0.15,  0.25
 2,            EXPLORE34,  0.18,  0.02,     - *             |                   ,  0.16,  0.26
#
 3,            random,14,  0.19,  0.02,      -* -----       |                   ,  0.17,  0.26
 3,            random,24,  0.19,  0.02,       *-            |                   ,  0.12,  0.25
 3,            exploit14,  0.19,  0.01,      -*----         |                   ,  0.12,  0.25
 3,            EXPLORE14,  0.19,  0.06,      - *    --------|--                 ,  0.13,  0.36
#
 4,        baseline,3008,  0.30,  0.22,              -   *  |              --   ,  0.26,  0.54
