#
 0,            exploit44,  0.01,  0.01, *-                  |                   ,  0.00,  0.03
 0,            EXPLORE34,  0.01,  0.01, *--                 |                   ,  0.00,  0.04
 0,            random,44,  0.01,  0.01,  *                  |                   ,  0.00,  0.03
 0,            exploit34,  0.02,  0.02,  *---               |                   ,  0.00,  0.06
#
 1,            random,34,  0.02,  0.01,  *-                 |                   ,  0.00,  0.03
 1,            EXPLORE44,  0.02,  0.02,  *------            |                   ,  0.00,  0.08
 1,            exploit24,  0.02,  0.01, -*-----             |                   ,  0.00,  0.35
 1,            EXPLORE24,  0.02,  0.03, -*   ---------      |                   ,  0.00,  0.24
 1,            exploit14,  0.02,  0.01, - *                 |                   ,  0.01,  0.15
#
 2,            random,24,  0.02,  0.01, - *                 |                   ,  0.00,  0.03
 2,            EXPLORE14,  0.02,  0.02, - * --------        |                   ,  0.00,  0.18
 2,            random,14,  0.03,  0.01,  - *-------         |                   ,  0.00,  0.11
#
 3,        baseline,3840,  0.11,  0.03, ---------   *       |                   ,  0.00,  0.15
