#
 0,            EXPLORE24,  0.03,  0.01, *   -----           |                   ,  0.03,  0.07
 0,            exploit34,  0.03,  0.01,  * --------         |                   ,  0.03,  0.08
 0,            exploit44,  0.03,  0.02,  *   ----           |                   ,  0.03,  0.08
 0,            EXPLORE44,  0.04,  0.03,  *      -----       |                   ,  0.03,  0.09
 0,            random,44,  0.04,  0.01,   *                 |                   ,  0.03,  0.06
 0,            EXPLORE34,  0.04,  0.01,   * ----            |                   ,  0.03,  0.07
#
 1,            exploit14,  0.04,  0.02, - *   ---------     |                   ,  0.03,  0.12
 1,            random,24,  0.04,  0.01,   * ----            |                   ,  0.03,  0.08
 1,            random,34,  0.05,  0.02, -- *   -            |                   ,  0.03,  0.07
#
 2,            exploit24,  0.05,  0.03, -   *  -----        |                   ,  0.03,  0.09
 2,            EXPLORE14,  0.05,  0.05,  -  *          ---  |                   ,  0.03,  0.14
 2,            random,14,  0.05,  0.04, --   *      ----    |                   ,  0.03,  0.10
#
 3,        baseline,5184,  0.09,  0.03,           ---  *   -|-----              ,  0.06,  0.19
