#
 0,            EXPLORE44,  0.23,  0.00, *                   |                   ,  0.23,  0.24
 0,            exploit44,  0.23,  0.01, *                   |                   ,  0.23,  0.26
#
 1,            EXPLORE34,  0.23,  0.01, *-                  |                   ,  0.23,  0.27
 1,            exploit24,  0.24,  0.01, *--                 |                   ,  0.23,  0.27
 1,            exploit34,  0.24,  0.01, *--                 |                   ,  0.23,  0.27
 1,            EXPLORE24,  0.24,  0.01, *-                  |                   ,  0.23,  0.28
#
 2,            random,44,  0.24,  0.01,  *                  |                   ,  0.24,  0.25
 2,            exploit14,  0.24,  0.01,  *-                 |                   ,  0.23,  0.46
#
 3,            random,34,  0.25,  0.01, -*                  |                   ,  0.23,  0.27
 3,            random,14,  0.25,  0.01, -*--                |                   ,  0.23,  0.28
 3,            EXPLORE14,  0.25,  0.01, -*--------------    |                   ,  0.23,  0.44
#
 4,            random,24,  0.25,  0.01,   *-                |                   ,  0.23,  0.29
#
 5,        baseline,4608,  0.45,  0.18,   -------         * |   --------------  ,  0.23,  0.70
