#
 0,            exploit44,  0.02,  0.01,  *                  |                   ,  0.00,  0.19
 0,            exploit34,  0.03,  0.04, -* -------          |                   ,  0.00,  0.34
 0,            EXPLORE44,  0.03,  0.01,  *-------           |                   ,  0.02,  0.20
 0,            EXPLORE34,  0.03,  0.02, -*--------          |                   ,  0.00,  0.21
#
 1,            random,44,  0.07,  0.04,  --* -------        |                   ,  0.02,  0.27
 1,            exploit24,  0.07,  0.17, -  *     --         |                   ,  0.01,  0.28
#
 2,            random,34,  0.08,  0.15, --  *     -         |                   ,  0.00,  0.31
 2,            EXPLORE24,  0.08,  0.19,     *     ---       |                   ,  0.02,  0.38
 2,            exploit14,  0.19,  0.17, --       * -------  |                   ,  0.00,  0.37
#
 3,            random,24,  0.21,  0.03,   ------- *--       |                   ,  0.03,  0.27
#
 4,            EXPLORE14,  0.21,  0.07,     ------*  ------ |                   ,  0.03,  0.39
 4,            random,14,  0.22,  0.06,   -------  *        |                   ,  0.02,  0.28
#
 5,        baseline,6840,  0.40,  0.34,   --------          *       ----        ,  0.00,  0.79
