#
 0,            exploit44,  0.25,  0.06,             --- *   |-                  ,  0.09,  0.32
 0,            EXPLORE44,  0.26,  0.04,              --- *  |--                 ,  0.16,  0.33
#
 1,            exploit24,  0.28,  0.08,             --     *| ---               ,  0.17,  0.37
 1,            exploit34,  0.28,  0.03,               ---  *|---                ,  0.20,  0.34
 1,            EXPLORE34,  0.28,  0.04,             -----  *|---                ,  0.16,  0.35
#
 2,            random,44,  0.31,  0.03,                   --|* ----             ,  0.20,  0.36
 2,            random,24,  0.31,  0.06,                -----| *   -             ,  0.17,  0.40
 2,            random,34,  0.31,  0.06,               ------| *   ---           ,  0.18,  0.39
 2,            EXPLORE24,  0.32,  0.04,                  ---|  *---             ,  0.12,  0.40
#
 3,            exploit14,  0.33,  0.04,                 ----|-  * ---           ,  0.15,  0.40
 3,            EXPLORE14,  0.34,  0.06,                     |-- *    ------     ,  0.25,  0.45
#
 4,            random,14,  0.35,  0.05,            ---------|--  *  --          ,  0.18,  0.41
 4,       baseline,65536,  0.36,  0.07,                   --|--   *   --        ,  0.09,  0.49
