#
 0,            exploit44,  0.19,  0.02,      --------*-     |                   ,  0.04,  0.36
 0,            exploit24,  0.20,  0.02,              -* ----|-------            ,  0.05,  0.39
 0,            exploit34,  0.20,  0.01,              -*-----|----               ,  0.18,  0.35
 0,            EXPLORE34,  0.20,  0.02,              - *----|-----              ,  0.00,  0.36
 0,            EXPLORE44,  0.21,  0.01,              - *----|----               ,  0.18,  0.36
 0,            EXPLORE24,  0.21,  0.03,              - *----|-------            ,  0.06,  0.39
#
 1,            random,44,  0.23,  0.03,                 * --|                   ,  0.19,  0.34
 1,            exploit14,  0.23,  0.14,               -- *  |     ---           ,  0.20,  0.42
 1,            random,34,  0.23,  0.12,               -  *  |   -----           ,  0.07,  0.40
 1,            random,24,  0.24,  0.04,                  * -|----               ,  0.19,  0.41
#
 2,            EXPLORE14,  0.38,  0.14,                 --- |       *--         ,  0.20,  0.43
 2,            random,14,  0.40,  0.13,                 ----|        *-         ,  0.21,  0.42
#
 3,       baseline,86058,  0.43,  0.06,                  ---|--------   * ---   ,  0.03,  0.54
