#
 0,            random,44,  0.22,  0.07,  ---*   -           |                   ,  0.15,  0.30
 0,            EXPLORE44,  0.22,  0.08, --- *   -           |                   ,  0.15,  0.30
 0,            random,34,  0.23,  0.09,   -  *   -          |                   ,  0.15,  0.32
#
 1,            exploit24,  0.24,  0.07, ---- *   --         |                   ,  0.15,  0.33
 1,            random,24,  0.27,  0.07, ----   *            |                   ,  0.17,  0.32
#
 2,            exploit44,  0.28,  0.07,    -    *           |                   ,  0.17,  0.30
 2,            EXPLORE34,  0.28,  0.02,     --- *           |                   ,  0.22,  0.30
 2,            EXPLORE24,  0.29,  0.03,    ----  *          |                   ,  0.17,  0.31
 2,            exploit34,  0.29,  0.05,   ---    *          |                   ,  0.15,  0.31
#
 3,            EXPLORE14,  0.30,  0.02,     -----*--        |                   ,  0.20,  0.34
#
 4,            exploit14,  0.30,  0.03,     -----*---       |                   ,  0.20,  0.36
#
 5,            random,14,  0.32,  0.04,     ----- *-        |                   ,  0.17,  0.43
#
 6,        baseline,1599,  0.44,  0.09,          ---      *-|--                 ,  0.15,  0.76
