#
 0,            exploit34,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            exploit44,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,            EXPLORE44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,            EXPLORE24,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 1,            EXPLORE34,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 2,            exploit24,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 3,            random,34,  0.01,  0.01, *                   |                   ,  0.00,  0.03
#
 4,            random,44,  0.01,  0.01, *                   |                   ,  0.00,  0.03
#
 5,            random,24,  0.01,  0.01, *-                  |                   ,  0.00,  0.05
#
 6,            random,14,  0.02,  0.02,  *                  |                   ,  0.00,  0.04
#
 7,            EXPLORE14,  0.02,  0.01, -*-                 |                   ,  0.00,  0.22
#
 8,            exploit14,  0.03,  0.02, -*------------------|---                ,  0.00,  0.35
 8,        baseline,1152,  0.07,  0.06,  --  * -------------|-------            ,  0.00,  0.57
