#
 0,            exploit44,  0.17,  0.02, *---                |                   ,  0.17,  0.39
#
 1,            exploit34,  0.19,  0.05, -* ------------     |                   ,  0.17,  0.55
#
 2,            exploit24,  0.24,  0.08, -  * ------         |                   ,  0.17,  0.39
 2,            random,44,  0.24,  0.07, -  * --             |                   ,  0.17,  0.33
#
 3,            random,14,  0.26,  0.06,  ---*  -----        |                   ,  0.20,  0.40
 3,            random,24,  0.26,  0.13,     *   ----        |                   ,  0.17,  0.40
#
 4,            EXPLORE44,  0.27,  0.11, -    * -------      |                   ,  0.17,  0.48
 4,            random,34,  0.30,  0.06,  ---  *--           |                   ,  0.17,  0.36
 4,            EXPLORE34,  0.31,  0.11, -      *---------   |                   ,  0.17,  0.49
#
 5,            EXPLORE14,  0.32,  0.04,      --* --         |                   ,  0.20,  0.43
 5,            EXPLORE24,  0.32,  0.03,     ---* -----      |                   ,  0.17,  0.54
 5,            exploit14,  0.35,  0.08,  ------  * -------- |                   ,  0.17,  0.54
#
 6,         baseline,398,  0.55,  0.16,           ----      *  ----------       ,  0.17,  0.93
