#
 0,            exploit34,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            exploit44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,34,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            exploit24,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,24,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            EXPLORE24,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,            random,44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,14,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            exploit14,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,        baseline,3840,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 0,            EXPLORE44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,            EXPLORE34,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 1,            EXPLORE14,  0.00,  0.00, *---                |                   ,  0.00,  0.01
