#
 0,            exploit34,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,            exploit44,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
 0,            random,44,  0.01,  0.00,  *                  |                   ,  0.00,  0.02
#
 1,            random,34,  0.02,  0.00,  *                  |                   ,  0.00,  0.02
 1,            random,24,  0.02,  0.00,  *                  |                   ,  0.01,  0.04
 1,            exploit24,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
#
 2,            exploit14,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 2,            random,14,  0.02,  0.00,  *-                 |                   ,  0.01,  0.04
 2,            EXPLORE24,  0.02,  0.02,   * -------         |                   ,  0.02,  0.20
 2,            EXPLORE44,  0.02,  0.02,   * ----            |                   ,  0.01,  0.10
 2,            EXPLORE14,  0.02,  0.02,  -* ----            |                   ,  0.01,  0.10
 2,            EXPLORE34,  0.02,  0.02,  -*--               |                   ,  0.01,  0.05
#
 3,        baseline,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.01,  0.37
