#
 0,            exploit34,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            EXPLORE34,  0.00,  0.00, *                   |                   ,  0.00,  0.07
 0,            exploit44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            EXPLORE44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,            random,44,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,            random,34,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,            random,24,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,            exploit24,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 1,            EXPLORE24,  0.00,  0.01, *--                 |                   ,  0.00,  0.11
#
 2,            EXPLORE14,  0.00,  0.01, *-                  |                   ,  0.00,  0.15
 2,            random,14,  0.01,  0.01, *                   |                   ,  0.00,  0.08
 2,            exploit14,  0.01,  0.01, *-                  |                   ,  0.00,  0.08
#
 3,         baseline,196,  0.26,  0.13, -------   * ------  |                   ,  0.00,  1.00
