#
 0,            exploit24,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 0,            exploit34,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            EXPLORE34,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            exploit44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,            EXPLORE44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 1,            EXPLORE24,  0.00,  0.01, *-                  |                   ,  0.00,  0.06
 1,            random,44,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,            random,24,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,            random,34,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 2,            EXPLORE14,  0.00,  0.01, *-                  |                   ,  0.00,  0.15
 2,            random,14,  0.00,  0.01, *                   |                   ,  0.00,  0.10
 2,            exploit14,  0.01,  0.01, *                   |                   ,  0.00,  0.05
#
 3,         baseline,196,  0.25,  0.13, --------  *  ------ |                   ,  0.00,  1.00
