#
 0,            exploit44,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            exploit34,  0.00,  0.00, *-                  |                   ,  0.00,  0.05
#
 1,            exploit24,  0.00,  0.00, *-----------        |                   ,  0.00,  0.16
 1,            random,34,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 1,            random,44,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,            random,24,  0.00,  0.00, *                   |                   ,  0.00,  0.03
#
 2,            exploit14,  0.00,  0.01, *--------------     |                   ,  0.00,  0.18
 2,            random,14,  0.01,  0.02,  *----              |                   ,  0.00,  0.08
 2,            EXPLORE24,  0.02,  0.02,   *---              |                   ,  0.00,  0.07
#
 3,            EXPLORE14,  0.02,  0.06, - *    --------     |                   ,  0.00,  0.17
 3,            EXPLORE34,  0.02,  0.03, --*  ---            |                   ,  0.00,  0.12
 3,            EXPLORE44,  0.02,  0.03, - * -----           |                   ,  0.00,  0.13
#
 4,        baseline,2880,  0.06,  0.05, ----  *  -----      |                   ,  0.00,  0.39
