#
 0,    exploit/False, 20, 0.000, 0.017, *                   |                   , 0.000, 0.017
 0,    exploit/False, 25, 0.000, 0.000, *                   |                   , 0.000, 0.017
#
 1,    exploit/False, 30, 0.000, 0.000, *                   |                   , 0.000, 0.017
#
 2,    exploit/False, 35, 0.000, 0.000, *                   |                   , 0.000, 0.000
#
 3,    exploit/False, 40, 0.000, 0.000, *                   |                   , 0.000, 0.000
#
 4,    exploit/False, 15, 0.017, 0.017, *                   |                   , 0.000, 0.050
 4,            random,25, 0.017, 0.017, *-                  |                   , 0.000, 0.083
#
 5,            random,30, 0.017, 0.033, *                   |                   , 0.000, 0.067
 5,            random,35, 0.017, 0.017, *-                  |                   , 0.000, 0.067
#
 6,            random,40, 0.017, 0.017, *                   |                   , 0.000, 0.067
 6,            random,10, 0.033, 0.017, -*-                 |                   , 0.000, 0.150
 6,    exploit/False, 10, 0.033, 0.033,  *                  |                   , 0.000, 0.083
 6,            random,20, 0.033, 0.017,  *                  |                   , 0.000, 0.067
#
 7,            random,15, 0.050, 0.017, - *                 |                   , 0.000, 0.167
#
 8,         baseline,192, 0.217, 0.383,   ---   *           |--------           , 0.000, 1.000
