#
 0,    exploit/False, 35, 0.000, 0.000, *                   |                   , 0.000, 0.017
 0,    exploit/False, 40, 0.000, 0.001, *                   |                   , 0.000, 0.012
 0,    exploit/False, 30, 0.000, 0.004, *                   |                   , 0.000, 0.012
 0,    exploit/False, 20, 0.001, 0.001, *                   |                   , 0.000, 0.029
 0,    exploit/False, 25, 0.003, 0.004, *                   |                   , 0.000, 0.017
 0,            random,35, 0.006, 0.005, *                   |                   , 0.001, 0.017
 0,            random,40, 0.006, 0.005, *                   |                   , 0.001, 0.018
 0,    exploit/False, 10, 0.006, 0.009, *                   |                   , 0.000, 0.039
 0,    exploit/False, 15, 0.006, 0.015, *                   |                   , 0.000, 0.029
 0,            random,25, 0.007, 0.002, *                   |                   , 0.001, 0.020
 0,            random,10, 0.008, 0.005, *                   |                   , 0.000, 0.027
 0,            random,20, 0.008, 0.004, *                   |                   , 0.000, 0.025
 0,            random,15, 0.010, 0.011, *                   |                   , 0.000, 0.025
 0,            random,30, 0.010, 0.007, *                   |                   , 0.000, 0.028
 0,        baseline,3456, 0.033, 0.027, -*---------------   |                   , 0.000, 0.730
