#
 0,    exploit/False, 40, 0.131, 0.030,   ---*-             |                   , 0.022, 0.180
 0,            random,40, 0.140, 0.023,     - *-            |                   , 0.076, 0.211
 0,            random,35, 0.141, 0.035,     - *--           |                   , 0.051, 0.230
 0,    exploit/False, 30, 0.142, 0.031,  ---- *-            |                   , 0.000, 0.260
 0,    exploit/False, 35, 0.145, 0.053,   --- *-            |                   , 0.022, 0.237
 0,    exploit/False, 20, 0.152, 0.044,    -- *---          |                   , 0.040, 0.257
 0,            random,30, 0.152, 0.062,    -- * --          |                   , 0.046, 0.276
 0,            random,25, 0.153, 0.056,     - * --          |                   , 0.074, 0.244
 0,    exploit/False, 25, 0.160, 0.043,    -- *-            |                   , 0.040, 0.213
#
 1,            random,15, 0.168, 0.067,      - * --         |                   , 0.117, 0.332
 1,            random,20, 0.177, 0.068,      - * ---        |                   , 0.120, 0.299
 1,    exploit/False, 15, 0.191, 0.084,      -  * --        |                   , 0.022, 0.320
#
 2,    exploit/False, 10, 0.214, 0.093,      --  * ---      |                   , 0.000, 0.346
 2,            random,10, 0.226, 0.084,     ---  *----      |                   , 0.040, 0.398
#
 3,        baseline,4653, 0.476, 0.125,                ---  *  ----------       , 0.176, 0.922
