#
 0,    exploit/False, 40, 0.001, 0.018, *--                 |                   , 0.001, 0.062
#
 1,    exploit/False, 35, 0.006, 0.023, *--                 |                   , 0.001, 0.060
#
 2,    exploit/False, 30, 0.021, 0.028,  *--                |                   , 0.001, 0.062
#
 3,    exploit/False, 20, 0.030, 0.052, - *   ----------    |                   , 0.001, 0.224
#
 4,    exploit/False, 15, 0.039, 0.041,  - *  ----          |                   , 0.006, 0.165
 4,    exploit/False, 25, 0.043, 0.038, -  * --             |                   , 0.001, 0.103
 4,            random,35, 0.045, 0.028,  - *---             |                   , 0.006, 0.094
 4,            random,30, 0.045, 0.020,  - *-               |                   , 0.001, 0.084
 4,            random,40, 0.046, 0.032,  - * -              |                   , 0.019, 0.081
#
 5,            random,20, 0.052, 0.038,  -  *--             |                   , 0.001, 0.094
#
 6,            random,15, 0.060, 0.037,   -  *---           |                   , 0.028, 0.147
 6,    exploit/False, 10, 0.066, 0.042,   -- * ---          |                   , 0.009, 0.129
 6,            random,25, 0.069, 0.027,    - * -            |                   , 0.020, 0.111
#
 7,            random,10, 0.080, 0.023,    -- *---          |                   , 0.041, 0.139
#
 8,        baseline,1343, 0.203, 0.104,          ---     *  |-------            , 0.021, 0.471
