#
 0,    exploit/False, 20, 0.001, 0.089, *  --------         |                   , 0.001, 0.328
 0,    exploit/False, 25, 0.001, 0.000, *--------           |                   , 0.001, 0.229
 0,    exploit/False, 30, 0.001, 0.000, *------             |                   , 0.001, 0.221
 0,    exploit/False, 35, 0.001, 0.000, *                   |                   , 0.001, 0.060
 0,    exploit/False, 40, 0.001, 0.000, *                   |                   , 0.001, 0.229
#
 1,    exploit/False, 15, 0.090, 0.228,    *     -----      |                   , 0.001, 0.451
 1,            random,40, 0.090, 0.156, -- *     -          |                   , 0.001, 0.248
#
 2,            random,35, 0.191, 0.092,   ---  * --         |                   , 0.001, 0.283
 2,            random,30, 0.216, 0.204,   -      *          |                   , 0.001, 0.311
#
 3,    exploit/False, 10, 0.221, 0.043, -------  *--        |                   , 0.001, 0.315
 3,            random,25, 0.229, 0.098,   -----  *  -       |                   , 0.001, 0.335
 3,            random,10, 0.233, 0.077, ---------*  ----    |                   , 0.001, 0.434
 3,            random,15, 0.233, 0.032,      ----*--        |                   , 0.001, 0.337
 3,            random,20, 0.277, 0.081,   -------  *        |                   , 0.001, 0.349
#
 4,         baseline,206, 0.565, 0.232,             ------  |  *    -----       , 0.001, 0.955
