#
 0,    exploit/False, 40, 0.052, 0.010,     -*--            |                   , 0.000, 0.232
 0,    exploit/False, 30, 0.053, 0.006, -----*-             |                   , 0.000, 0.086
 0,    exploit/False, 35, 0.054, 0.008,      *-             |                   , 0.043, 0.125
#
 1,    exploit/False, 25, 0.057, 0.016,     - *-            |                   , 0.000, 0.108
 1,    exploit/False, 20, 0.065, 0.027,       * ------------|----               , 0.043, 0.236
 1,            random,30, 0.067, 0.017,        *--          |                   , 0.000, 0.159
#
 2,            random,40, 0.067, 0.022,      - *--          |                   , 0.049, 0.102
 2,    exploit/False, 15, 0.069, 0.033,     -  * -----------|---                , 0.000, 0.242
 2,            random,25, 0.073, 0.017,        *-           |                   , 0.049, 0.111
 2,            random,35, 0.073, 0.027,        *-           |                   , 0.000, 0.090
#
 3,            random,20, 0.075, 0.021,      --* -          |                   , 0.043, 0.100
 3,            random,10, 0.082, 0.027,         * --        |                   , 0.057, 0.116
 3,            random,15, 0.085, 0.013,       -- *--        |                   , 0.054, 0.118
 3,    exploit/False, 10, 0.091, 0.031,       -- * ---------|----               , 0.055, 0.248
#
 4,        baseline,1512, 0.130, 0.065,          --  *    --|--------           , 0.000, 0.375
