#
 0,    exploit/False, 35, 0.320, 0.032, * ----              |                   , 0.316, 0.425
 0,    exploit/False, 40, 0.348, 0.082,   *   ---           |                   , 0.316, 0.487
#
 1,    exploit/False, 30, 0.369, 0.082,    *  --            |                   , 0.316, 0.444
 1,            random,40, 0.369, 0.022,    *--              |                   , 0.316, 0.408
 1,            random,25, 0.374, 0.050, --  * ---           |                   , 0.316, 0.467
#
 2,            random,30, 0.374, 0.063,     *  --           |                   , 0.320, 0.448
 2,            random,35, 0.374, 0.047, --  *               |                   , 0.316, 0.408
 2,    exploit/False, 25, 0.377, 0.043, --  *---            |                   , 0.316, 0.425
 2,    exploit/False, 15, 0.398, 0.056, ---   * -           |                   , 0.316, 0.456
#
 3,    exploit/False, 20, 0.398, 0.077, --    * -           |                   , 0.316, 0.468
 3,            random,15, 0.404, 0.067,    -  *  -          |                   , 0.316, 0.498
#
 4,    exploit/False, 10, 0.417, 0.050,   ---  * --         |                   , 0.316, 0.504
#
 5,            random,20, 0.425, 0.066,         *-          |                   , 0.352, 0.457
#
 6,            random,10, 0.449, 0.069,    --    *          |                   , 0.352, 0.482
#
 7,         baseline,196, 0.525, 0.087,         -----  *   -|-------            , 0.316, 0.857
