#
 0,    exploit/False, 40, 0.145, 0.057,  *  -----           |                   , 0.123, 0.269
#
 1,            random,40, 0.171, 0.058,    *---             |                   , 0.123, 0.242
 1,            random,35, 0.175, 0.068, -  *  --            |                   , 0.124, 0.265
#
 2,    exploit/False, 25, 0.191, 0.058,     *------         |                   , 0.123, 0.303
 2,    exploit/False, 35, 0.192, 0.071, --- *   --          |                   , 0.123, 0.279
#
 3,    exploit/False, 30, 0.216, 0.108,       * ----        |                   , 0.123, 0.305
 3,            random,30, 0.217, 0.064, ---   *----         |                   , 0.123, 0.295
#
 4,    exploit/False, 20, 0.222, 0.077, ----  *   -         |                   , 0.123, 0.305
 4,            random,25, 0.222, 0.030,   --- *----         |                   , 0.123, 0.310
 4,    exploit/False, 15, 0.231, 0.111, ---    *            |                   , 0.123, 0.299
 4,            random,20, 0.242, 0.051,   --    *---        |                   , 0.134, 0.317
 4,    exploit/False, 10, 0.242, 0.127, --      *  --       |                   , 0.133, 0.340
#
 5,            random,15, 0.248, 0.071,    ---- *   -       |                   , 0.165, 0.321
#
 6,            random,10, 0.291, 0.050,       ---- * -      |                   , 0.186, 0.348
#
 7,         baseline,756, 0.392, 0.183,           ----    * |     ------------- , 0.123, 0.707
