#
 0,            random,40, 0.384, 0.043,   *----             |                   , 0.348, 0.461
 0,            random,35, 0.392, 0.031, -  *                |                   , 0.348, 0.451
#
 1,            random,25, 0.401, 0.014, ---*---             |                   , 0.348, 0.451
 1,            random,30, 0.401, 0.022, -- *----            |                   , 0.348, 0.465
 1,            random,20, 0.406, 0.027, --- *---            |                   , 0.348, 0.469
 1,    exploit/False, 35, 0.415, 0.099,      *              |                   , 0.348, 0.448
 1,    exploit/False, 40, 0.415, 0.080, -    * --           |                   , 0.348, 0.482
#
 2,            random,10, 0.420, 0.058, ---- *  --          |                   , 0.348, 0.496
 2,    exploit/False, 20, 0.425, 0.080, -    * -            |                   , 0.348, 0.457
 2,    exploit/False, 10, 0.436, 0.043,   --  *-            |                   , 0.348, 0.460
 2,            random,15, 0.436, 0.044, ----  *-            |                   , 0.348, 0.480
 2,    exploit/False, 25, 0.448, 0.004, -------*--          |                   , 0.348, 0.482
 2,    exploit/False, 30, 0.448, 0.080, -      *            |                   , 0.348, 0.448
 2,    exploit/False, 15, 0.449, 0.005,  ------*            |                   , 0.348, 0.476
#
 3,         baseline,196, 0.534, 0.114,        -----  *     |-----              , 0.348, 0.877
