#
 0,    exploit/False, 35, 0.353, 0.080, -*                  |                   , 0.334, 0.431
 0,            random,40, 0.378, 0.038, - *---              |                   , 0.334, 0.435
#
 1,            random,30, 0.391, 0.040,  - * ---            |                   , 0.334, 0.466
 1,            random,35, 0.391, 0.056, -  *-               |                   , 0.334, 0.431
 1,            random,25, 0.396, 0.040,  -  *---            |                   , 0.334, 0.470
#
 2,            random,15, 0.429, 0.053,  --   *-            |                   , 0.334, 0.472
 2,    exploit/False, 10, 0.431, 0.027,   --  *--           |                   , 0.353, 0.509
 2,    exploit/False, 15, 0.431, 0.044, ---   *-            |                   , 0.334, 0.492
#
 3,            random,20, 0.431, 0.031,  ---- *-            |                   , 0.334, 0.472
 3,    exploit/False, 20, 0.431, 0.046,  --   *----         |                   , 0.334, 0.505
 3,    exploit/False, 25, 0.431, 0.004,  -----*             |                   , 0.334, 0.500
 3,    exploit/False, 30, 0.431, 0.078, -     *             |                   , 0.334, 0.499
#
 4,    exploit/False, 40, 0.431, 0.013,  ---- *----         |                   , 0.334, 0.499
 4,            random,10, 0.443, 0.025,  ----- *            |                   , 0.334, 0.494
#
 5,         baseline,196, 0.538, 0.137,        ----  *      |---                , 0.334, 0.928
