#
 0,    exploit/False, 20, 0.226, 0.087, *   ----------------|----               , 0.226, 0.698
 0,    exploit/False, 25, 0.226, 0.000, *-------------------|----               , 0.226, 0.725
 0,    exploit/False, 30, 0.226, 0.087, *   ----------------|                   , 0.226, 0.698
 0,    exploit/False, 35, 0.226, 0.000, *                   |                   , 0.226, 0.313
 0,    exploit/False, 40, 0.226, 0.000, *-------------------|----               , 0.226, 0.698
#
 1,            random,25, 0.226, 0.152, *       --          |                   , 0.226, 0.461
 1,            random,35, 0.226, 0.088, *   ----            |                   , 0.226, 0.388
#
 2,    exploit/False, 10, 0.313, 0.278,     *         ------|----               , 0.226, 0.857
 2,    exploit/False, 15, 0.313, 0.194,     *     ----------|                   , 0.226, 0.698
 2,            random,30, 0.314, 0.152,     *               |                   , 0.226, 0.448
 2,            random,40, 0.314, 0.152,     *               |                   , 0.226, 0.448
 2,            random,15, 0.378, 0.010, --------*------     |                   , 0.226, 0.583
#
 3,            random,20, 0.388, 0.068, --------*  ----     |                   , 0.226, 0.541
#
 4,            random,10, 0.420, 0.083, --------  * ------- |                   , 0.226, 0.726
#
 5,         baseline,259, 0.725, 0.161,             --------|     *  ---------- , 0.226, 0.971
