#
 0,    exploit/False, 35, 0.005, 0.204, *         --        |                   , 0.000, 0.247
 0,    exploit/False, 20, 0.005, 0.018, *-------------      |                   , 0.000, 0.272
 0,    exploit/False, 40, 0.005, 0.204, *         --        |                   , 0.000, 0.255
 0,    exploit/False, 25, 0.023, 0.228,  *                  |                   , 0.000, 0.244
 0,    exploit/False, 30, 0.023, 0.199,  *        --        |                   , 0.000, 0.247
 0,            random,40, 0.026, 0.110,  *    ------        |                   , 0.000, 0.244
 0,            random,20, 0.036, 0.208,  *         --       |                   , 0.000, 0.277
 0,            random,35, 0.037, 0.152,   *     -----       |                   , 0.000, 0.250
#
 1,            random,25, 0.127, 0.198, --    *      -      |                   , 0.016, 0.275
 1,            random,30, 0.127, 0.174, --    *    --       |                   , 0.000, 0.269
 1,    exploit/False, 15, 0.204, 0.221, -         *         |                   , 0.002, 0.255
#
 2,            random,15, 0.233, 0.132,  ------     * -     |                   , 0.000, 0.348
 2,    exploit/False, 10, 0.234, 0.211, -           *--     |                   , 0.002, 0.300
 2,            random,10, 0.249, 0.034, ------------ *--    |                   , 0.006, 0.304
#
 3,        baseline,1080, 0.331, 0.087,            ----  *  |-----              , 0.000, 0.746
