#
 0,    exploit/False, 25, 0.043, 0.015,  *------------      |                   , 0.025, 0.296
 0,    exploit/False, 40, 0.046, 0.005, -*                  |                   , 0.025, 0.162
#
 1,    exploit/False, 30, 0.050, 0.117, -*      --          |                   , 0.025, 0.581
 1,    exploit/False, 35, 0.050, 0.013, -*-------           |                   , 0.030, 0.589
 1,            random,40, 0.068, 0.016,  -*--               |                   , 0.046, 0.204
 1,    exploit/False, 20, 0.068, 0.154, - *       -----     |                   , 0.025, 0.293
 1,            random,25, 0.070, 0.042,  -* ---------       |                   , 0.043, 0.254
 1,            random,35, 0.070, 0.013,  -*                 |                   , 0.046, 0.232
 1,    exploit/False, 15, 0.076, 0.172,  - *        --------|-----------        , 0.040, 0.584
 1,            random,20, 0.079, 0.026,    *---------       |                   , 0.046, 0.262
 1,            random,30, 0.079, 0.030,  - *-               |                   , 0.025, 0.232
#
 2,            random,15, 0.130, 0.162,  ---- *       ---   |                   , 0.039, 0.393
 2,    exploit/False, 10, 0.192, 0.225,  --      *      ----|-----------        , 0.046, 0.582
#
 3,            random,10, 0.250, 0.186,   --         * ---  |                   , 0.057, 0.482
#
 4,        baseline,3840, 0.598, 0.026,                     |            *----- , 0.557, 0.708
