#
 0,    exploit/False, 25, 0.103, 0.065,  --  * ---------    |                   , 0.024, 0.397
 0,    exploit/False, 30, 0.106, 0.094,      * ----------   |                   , 0.024, 0.486
 0,            random,40, 0.111, 0.105, -    * ------       |                   , 0.014, 0.353
 0,    exploit/False, 40, 0.115, 0.214,  --  *         ---  |                   , 0.034, 0.493
 0,    exploit/False, 20, 0.115, 0.160,  --- *        --    |                   , 0.014, 0.330
 0,            random,35, 0.138, 0.111,   ---  *   ---      |                   , 0.034, 0.322
 0,            random,25, 0.141, 0.099,    --- *    ---     |                   , 0.014, 0.286
 0,            random,30, 0.143, 0.044,     -- *-------     |                   , 0.071, 0.280
 0,    exploit/False, 35, 0.169, 0.136,  --     *  ------   |                   , 0.024, 0.317
#
 1,    exploit/False, 15, 0.186, 0.232,  --      *       -- |                   , 0.034, 0.365
#
 2,            random,20, 0.236, 0.204,    ----     *      -|                   , 0.039, 0.419
 2,            random,15, 0.296, 0.125,     ------      *-- |                   , 0.045, 0.373
#
 3,    exploit/False, 10, 0.301, 0.188,   ------        * --|--                 , 0.024, 0.420
 3,            random,10, 0.329, 0.155,    -------        *-|---                , 0.024, 0.469
#
 4,        baseline,2880, 0.666, 0.035,                     |             -- *- , 0.432, 0.707
