#
 0,    exploit/False, 40, 0.156, 0.001, *                   |                   , 0.156, 0.182
#
 1,    exploit/False, 30, 0.158, 0.007, *                   |                   , 0.156, 0.177
#
 2,    exploit/False, 35, 0.158, 0.009, *                   |                   , 0.156, 0.182
 2,    exploit/False, 25, 0.163, 0.008, *                   |                   , 0.156, 0.177
 2,    exploit/False, 20, 0.165, 0.021, *------------       |                   , 0.156, 0.387
 2,    exploit/False, 15, 0.177, 0.016,  *------------      |                   , 0.156, 0.553
#
 3,            random,30, 0.183, 0.036,  *-----------       |                   , 0.158, 0.433
 3,            random,40, 0.188, 0.018, -*----------        |                   , 0.156, 0.381
 3,    exploit/False, 10, 0.197, 0.194, - *          ------ |                   , 0.156, 0.506
 3,            random,15, 0.198, 0.024,   *----------       |                   , 0.156, 0.409
 3,            random,35, 0.199, 0.021, - *-----------      |                   , 0.167, 0.440
 3,            random,20, 0.200, 0.034, - *-----------      |                   , 0.166, 0.483
 3,            random,25, 0.200, 0.028,   *------------     |                   , 0.156, 0.456
#
 4,            random,10, 0.388, 0.069,   ---------- *  ----|---                , 0.180, 0.579
#
 5,        baseline,1023, 0.649, 0.303,    -------------    |        *    ---   , 0.156, 0.831
