#
 0,    exploit/False, 35, 0.002, 0.000, *                   |                   , 0.002, 0.097
#
 1,    exploit/False, 25, 0.002, 0.002, *                   |                   , 0.002, 0.096
 1,    exploit/False, 30, 0.002, 0.002, *                   |                   , 0.002, 0.006
 1,    exploit/False, 40, 0.002, 0.000, *                   |                   , 0.002, 0.005
#
 2,    exploit/False, 15, 0.004, 0.003, *--                 |                   , 0.002, 0.097
 2,    exploit/False, 20, 0.004, 0.002, *                   |                   , 0.002, 0.096
 2,    exploit/False, 10, 0.004, 0.005, *                   |                   , 0.002, 0.102
#
 3,            random,35, 0.005, 0.001, *                   |                   , 0.002, 0.012
 3,            random,40, 0.005, 0.001, *                   |                   , 0.002, 0.007
#
 4,            random,30, 0.005, 0.002, *                   |                   , 0.002, 0.014
 4,            random,25, 0.005, 0.001, *                   |                   , 0.002, 0.100
 4,            random,15, 0.006, 0.005, *                   |                   , 0.002, 0.018
 4,            random,20, 0.006, 0.002, *                   |                   , 0.004, 0.013
 4,            random,10, 0.013, 0.010, *---                |                   , 0.003, 0.104
 4,         baseline,864, 0.117, 0.214, ----*        -------|----------------   , 0.002, 0.970
