#
 0,            random,20, 0.138, 0.060,      -- *   -       |                   , 0.048, 0.234
 0,            random,40, 0.140, 0.014,         *---        |                   , 0.113, 0.192
 0,            random,25, 0.157, 0.050,      ---  * -       |                   , 0.050, 0.201
#
 1,            random,30, 0.176, 0.033,        --  *-       |                   , 0.049, 0.210
 1,            random,15, 0.180, 0.048,        --  * -      |                   , 0.099, 0.216
 1,    exploit/False, 40, 0.183, 0.009,      ------ *       |                   , 0.086, 0.184
 1,    exploit/False, 30, 0.183, 0.027,        ---  *       |                   , 0.110, 0.216
 1,    exploit/False, 35, 0.183, 0.001,      -------*       |                   , 0.048, 0.195
#
 2,    exploit/False, 10, 0.183, 0.041,       ---   *       |                   , 0.089, 0.218
 2,    exploit/False, 20, 0.184, 0.012,        ---- *       |                   , 0.100, 0.197
 2,            random,35, 0.185, 0.032,        --   *       |                   , 0.105, 0.206
 2,    exploit/False, 15, 0.185, 0.002,            -*       |                   , 0.111, 0.268
 2,    exploit/False, 25, 0.185, 0.003,           --*       |                   , 0.088, 0.256
 2,            random,10, 0.193, 0.013,        ----- *      |                   , 0.031, 0.220
#
 3,       baseline,53662, 0.277, 0.061,                  --*|   -----           , 0.124, 0.530
