#
 0,    exploit/False, 35, 0.142, 0.043,  *--                |                   , 0.121, 0.236
 0,    exploit/False, 40, 0.152, 0.027, -*--                |                   , 0.121, 0.211
#
 1,    exploit/False, 30, 0.162, 0.048, - *--               |                   , 0.123, 0.235
 1,    exploit/False, 25, 0.164, 0.028, - *-                |                   , 0.121, 0.235
 1,    exploit/False, 20, 0.166, 0.072, - *                 |                   , 0.121, 0.272
 1,            random,30, 0.170, 0.066, - * --              |                   , 0.121, 0.307
 1,            random,40, 0.170, 0.028,  -*-                |                   , 0.129, 0.229
#
 2,    exploit/False, 10, 0.171, 0.092, - *  --             |                   , 0.121, 0.284
 2,            random,20, 0.173, 0.035,  -*----             |                   , 0.144, 0.325
 2,    exploit/False, 15, 0.176, 0.055, - * --              |                   , 0.121, 0.254
 2,            random,25, 0.183, 0.034,  - *----            |                   , 0.121, 0.293
 2,            random,35, 0.185, 0.031,  - *                |                   , 0.133, 0.225
#
 3,            random,10, 0.220, 0.063,   - *               |                   , 0.129, 0.297
 3,            random,15, 0.223, 0.039,      *--            |                   , 0.148, 0.294
#
 4,         baseline,972, 0.422, 0.099,          ---  *  ---|--                 , 0.210, 0.932
