#
 0,    exploit/False, 35, 0.156, 0.000, *                   |                   , 0.156, 0.167
 0,    exploit/False, 40, 0.156, 0.001, *                   |                   , 0.156, 0.177
 0,    exploit/False, 30, 0.158, 0.011, *                   |                   , 0.156, 0.183
 0,    exploit/False, 25, 0.163, 0.020, *----------         |                   , 0.156, 0.370
 0,    exploit/False, 20, 0.177, 0.024,  *----------        |                   , 0.156, 0.387
 0,    exploit/False, 15, 0.177, 0.022,  *------------      |                   , 0.156, 0.553
 0,            random,30, 0.183, 0.036,  *-----------       |                   , 0.158, 0.433
#
 1,            random,40, 0.188, 0.018, -*----------        |                   , 0.156, 0.381
 1,    exploit/False, 10, 0.197, 0.179, - *         -       |                   , 0.156, 0.387
 1,            random,15, 0.198, 0.024,   *----------       |                   , 0.156, 0.409
 1,            random,35, 0.199, 0.021, - *-----------      |                   , 0.167, 0.440
 1,            random,20, 0.200, 0.034, - *-----------      |                   , 0.166, 0.483
 1,            random,25, 0.200, 0.028,   *------------     |                   , 0.156, 0.456
#
 2,            random,10, 0.388, 0.069,   ---------- *  ----|---                , 0.180, 0.579
#
 3,        baseline,1023, 0.649, 0.303,    -------------    |        *    ---   , 0.156, 0.831
