#
 0,    exploit/False, 35, 0.052, 0.013, *-------            |                   , 0.043, 0.172
 0,    exploit/False, 30, 0.056, 0.057, *   ---             |                   , 0.043, 0.159
 0,    exploit/False, 25, 0.056, 0.042, *  --               |                   , 0.043, 0.137
 0,            random,35, 0.057, 0.007,  *                  |                   , 0.043, 0.077
 0,    exploit/False, 40, 0.057, 0.055,  *  ---             |                   , 0.043, 0.169
 0,            random,40, 0.057, 0.007,  *                  |                   , 0.045, 0.076
 0,    exploit/False, 20, 0.058, 0.053,  *  ---             |                   , 0.045, 0.145
#
 1,            random,30, 0.061, 0.021, -*-----             |                   , 0.043, 0.139
 1,            random,20, 0.063, 0.024, -*----              |                   , 0.052, 0.141
 1,            random,25, 0.063, 0.014, -*---               |                   , 0.050, 0.129
 1,            random,15, 0.069, 0.011, -*----              |                   , 0.052, 0.140
 1,    exploit/False, 15, 0.070, 0.090, -*     --           |                   , 0.050, 0.179
 1,    exploit/False, 10, 0.076, 0.070, - *   ---           |                   , 0.047, 0.181
 1,            random,10, 0.083, 0.057, - *   ---           |                   , 0.054, 0.203
#
 2,        baseline,2736, 0.167, 0.061,  -----   * ---------|---------          , 0.043, 0.590
