#
 0,    exploit/False, 40, 0.160, 0.015, ---*                |                   , 0.118, 0.177
#
 1,    exploit/False, 35, 0.171, 0.011,    - *              |                   , 0.126, 0.187
 1,    exploit/False, 30, 0.175, 0.009,    - *              |                   , 0.118, 0.191
 1,            random,40, 0.175, 0.007,     -*              |                   , 0.118, 0.194
 1,    exploit/False, 25, 0.175, 0.015,  --- *              |                   , 0.130, 0.185
 1,    exploit/False, 15, 0.177, 0.019,    --*-----         |                   , 0.130, 0.242
 1,            random,25, 0.177, 0.011,     -*-             |                   , 0.157, 0.216
#
 2,            random,30, 0.184, 0.013,       *----         |                   , 0.157, 0.251
 2,    exploit/False, 10, 0.185, 0.017,     - *------       |                   , 0.158, 0.265
 2,            random,35, 0.185, 0.003,      -*--           |                   , 0.160, 0.249
 2,    exploit/False, 20, 0.186, 0.015,       *----         |                   , 0.130, 0.257
 2,            random,15, 0.191, 0.012,      -*-----        |                   , 0.126, 0.270
 2,            random,10, 0.194, 0.051,        *   ---      |                   , 0.167, 0.298
#
 3,            random,20, 0.195, 0.017,      - *----        |                   , 0.157, 0.250
#
 4,        baseline,3008, 0.298, 0.220,              -   *  |              --   , 0.258, 0.538
