#
 0,            random,35, 0.006, 0.014, *   ----            |                   , 0.003, 0.036
 0,    exploit/False, 35, 0.007, 0.008,  *--                |                   , 0.003, 0.057
 0,            random,40, 0.007, 0.010,  *---               |                   , 0.003, 0.035
#
 1,    exploit/False, 25, 0.012, 0.013, - * ---             |                   , 0.003, 0.035
#
 2,    exploit/False, 40, 0.017, 0.009,  - * ----           |                   , 0.005, 0.045
#
 3,    exploit/False, 20, 0.017, 0.015, -  * -----------    |                   , 0.003, 0.102
 3,    exploit/False, 30, 0.017, 0.013, -  *---------       |                   , 0.003, 0.053
 3,    exploit/False, 15, 0.018, 0.016, -   *---------------|                   , 0.003, 0.098
 3,            random,30, 0.019, 0.004, --- *--             |                   , 0.003, 0.036
 3,            random,25, 0.019, 0.012, --- * --            |                   , 0.003, 0.037
 3,            random,20, 0.021, 0.015, ---  *  -           |                   , 0.003, 0.046
#
 4,    exploit/False, 10, 0.022, 0.017, ---- *   -----------|---                , 0.003, 0.109
#
 5,            random,15, 0.034, 0.024,  ----   *   ------- |                   , 0.003, 0.110
 5,            random,10, 0.034, 0.016,        -*   --------|--------           , 0.019, 0.120
#
 6,        baseline,3840, 0.109, 0.026,   ------------------|-      *-          , 0.003, 0.150
