#
 0,    exploit/False, 35, 0.032, 0.007, * -------           |                   , 0.030, 0.070
 0,    exploit/False, 40, 0.033, 0.021, *    ------         |                   , 0.030, 0.086
 0,    exploit/False, 30, 0.035, 0.011,  * ------           |                   , 0.030, 0.073
#
 1,            random,40, 0.038, 0.019,   *  ---            |                   , 0.030, 0.071
#
 2,            random,35, 0.041, 0.018, --*   --            |                   , 0.032, 0.071
 2,    exploit/False, 20, 0.042, 0.026,   *    --           |                   , 0.031, 0.072
 2,    exploit/False, 25, 0.042, 0.029,   *    --------     |                   , 0.030, 0.120
#
 3,            random,25, 0.044, 0.021,  - *   ---          |                   , 0.031, 0.076
 3,            random,30, 0.044, 0.021,    *  -----         |                   , 0.031, 0.093
 3,    exploit/False, 15, 0.049, 0.030, --  *    ----       |                   , 0.031, 0.091
 3,    exploit/False, 10, 0.054, 0.036, --   *     ----     |                   , 0.031, 0.121
 3,            random,20, 0.054, 0.024, --    * --          |                   , 0.032, 0.079
#
 4,            random,15, 0.064, 0.033, ----    *   ---     |                   , 0.031, 0.114
 4,            random,10, 0.072, 0.042,   --      *   ------|                   , 0.031, 0.116
#
 5,        baseline,5184, 0.094, 0.026,           ---  *   -|-----              , 0.056, 0.191
