#
 0,    exploit/False, 40, 0.234, 0.004, *                   |                   , 0.230, 0.245
 0,    exploit/False, 35, 0.235, 0.002, *                   |                   , 0.230, 0.247
 0,    exploit/False, 25, 0.235, 0.006, *                   |                   , 0.230, 0.247
 0,    exploit/False, 20, 0.236, 0.005, *                   |                   , 0.231, 0.248
 0,    exploit/False, 30, 0.237, 0.009, *-                  |                   , 0.230, 0.275
#
 1,    exploit/False, 15, 0.242, 0.012,  *--                |                   , 0.231, 0.365
#
 2,            random,25, 0.246, 0.005, -*                  |                   , 0.233, 0.264
 2,            random,40, 0.247, 0.008, -*--                |                   , 0.231, 0.285
 2,            random,30, 0.247, 0.010,  *                  |                   , 0.231, 0.257
 2,            random,35, 0.247, 0.007, -*                  |                   , 0.230, 0.263
 2,    exploit/False, 10, 0.249, 0.012, -*---               |                   , 0.233, 0.388
 2,            random,20, 0.249, 0.009, -*--                |                   , 0.230, 0.299
 2,            random,15, 0.250, 0.010, -*---               |                   , 0.233, 0.366
#
 3,            random,10, 0.261, 0.015, - *---------------  |                   , 0.233, 0.447
#
 4,        baseline,4608, 0.450, 0.177,   -------         * |   --------------  , 0.231, 0.704
