#
 0,    exploit/False, 40, 0.249, 0.047,          ----   * --|                   , 0.089, 0.321
 0,    exploit/False, 35, 0.252, 0.069,          ---    *  -|--                 , 0.112, 0.338
#
 1,    exploit/False, 20, 0.282, 0.056,              ----  *| ---               , 0.218, 0.348
 1,    exploit/False, 30, 0.291, 0.055,              ----   *  ---              , 0.179, 0.352
#
 2,    exploit/False, 25, 0.306, 0.054,              -----  |*  --              , 0.184, 0.369
 2,    exploit/False, 15, 0.308, 0.024,            ---------| *---              , 0.089, 0.360
 2,            random,35, 0.312, 0.048,                ---- | * ----            , 0.118, 0.376
 2,            random,40, 0.320, 0.040,                   --|  * --             , 0.225, 0.377
#
 3,            random,30, 0.327, 0.068,                 --- |   * -             , 0.220, 0.375
 3,    exploit/False, 10, 0.331, 0.108,                  -- |   *     --        , 0.206, 0.426
 3,            random,25, 0.336, 0.048,                  ---|   *--             , 0.250, 0.369
#
 4,            random,15, 0.349, 0.049,                     | --  *  ---        , 0.276, 0.416
#
 5,       baseline,65536, 0.355, 0.070,                   --|--   *   --        , 0.089, 0.486
 5,            random,20, 0.368, 0.051,                     |---    *--         , 0.290, 0.415
 5,            random,10, 0.370, 0.067,            ---------|--     * -----     , 0.181, 0.446
