#
 0,    exploit/False, 35, 0.194, 0.014,               *-----|---                , 0.175, 0.347
 0,    exploit/False, 40, 0.198, 0.012,              -*-    |                   , 0.019, 0.329
 0,    exploit/False, 25, 0.204, 0.017,                *----|-----              , 0.002, 0.360
#
 1,    exploit/False, 20, 0.206, 0.051,              - *  --|-----              , 0.042, 0.403
 1,    exploit/False, 30, 0.208, 0.135,              - *    |    --             , 0.183, 0.373
 1,            random,40, 0.229, 0.011,                -*---|                   , 0.180, 0.275
 1,            random,30, 0.229, 0.051,               - *  -|----               , 0.179, 0.396
 1,            random,35, 0.229, 0.033,               --* --|                   , 0.197, 0.406
 1,    exploit/False, 15, 0.230, 0.151,               -  *  |     ---           , 0.055, 0.406
#
 2,            random,20, 0.252, 0.160,               --  * |       --          , 0.186, 0.420
 2,            random,25, 0.252, 0.111,                -  * |    ----           , 0.193, 0.400
#
 3,    exploit/False, 10, 0.271, 0.146,                 -   *       ---         , 0.203, 0.442
 3,            random,15, 0.329, 0.150,                --   |   *   ----        , 0.202, 0.458
#
 4,            random,10, 0.412, 0.062,                  ---|-----    *--       , 0.210, 0.461
#
 5,       baseline,86058, 0.434, 0.060,                  ---|--------   * ---   , 0.029, 0.536
