#
 0,            random,30, 0.216, 0.083, --  *  ---          |                   , 0.152, 0.321
#
 1,    exploit/False, 40, 0.242, 0.062, ---- *  -           |                   , 0.152, 0.307
 1,    exploit/False, 20, 0.269, 0.046,   ---  *-           |                   , 0.152, 0.307
 1,    exploit/False, 30, 0.269, 0.072,  ---   *            |                   , 0.166, 0.303
 1,            random,40, 0.269, 0.069, ----   * -          |                   , 0.166, 0.336
 1,    exploit/False, 15, 0.278, 0.072, ----    *-          |                   , 0.152, 0.316
 1,    exploit/False, 35, 0.278, 0.077, ----    *           |                   , 0.152, 0.303
#
 2,    exploit/False, 25, 0.283, 0.064,     -   *-          |                   , 0.152, 0.307
 2,            random,20, 0.285, 0.070,     -   *--         |                   , 0.216, 0.376
 2,            random,15, 0.290, 0.013,     -----*          |                   , 0.166, 0.316
 2,            random,25, 0.290, 0.031,     ---  *-         |                   , 0.152, 0.359
 2,            random,35, 0.290, 0.018,      --- *          |                   , 0.166, 0.307
#
 3,    exploit/False, 10, 0.293, 0.054,     -    *--        |                   , 0.166, 0.433
 3,            random,10, 0.303, 0.025,     -----* --       |                   , 0.166, 0.370
#
 4,        baseline,1599, 0.435, 0.094,          ---      *-|--                 , 0.152, 0.763
