#
 0,    exploit/False, 40, 0.000, 0.000, *                   |                   , 0.000, 0.006
 0,    exploit/False, 30, 0.000, 0.003, *                   |                   , 0.000, 0.006
 0,    exploit/False, 35, 0.000, 0.000, *                   |                   , 0.000, 0.006
#
 1,    exploit/False, 25, 0.000, 0.003, *                   |                   , 0.000, 0.013
 1,    exploit/False, 15, 0.000, 0.003, *                   |                   , 0.000, 0.017
 1,    exploit/False, 20, 0.000, 0.004, *                   |                   , 0.000, 0.021
#
 2,            random,35, 0.006, 0.009, *-                  |                   , 0.000, 0.039
#
 3,            random,40, 0.006, 0.004, *                   |                   , 0.000, 0.029
#
 4,    exploit/False, 10, 0.009, 0.011, *                   |                   , 0.000, 0.029
#
 5,            random,30, 0.013, 0.015, *-                  |                   , 0.000, 0.043
#
 6,            random,20, 0.017, 0.010,  *                  |                   , 0.000, 0.046
 6,            random,25, 0.018, 0.020,  *                  |                   , 0.000, 0.054
#
 7,            random,15, 0.018, 0.013, -*                  |                   , 0.000, 0.042
#
 8,            random,10, 0.031, 0.028,   *                 |                   , 0.000, 0.114
#
 9,        baseline,1152, 0.074, 0.061,  --  * -------------|-------            , 0.000, 0.570
