#
 0,    exploit/False, 30, 0.167, 0.023, *--                 |                   , 0.167, 0.368
#
 1,    exploit/False, 40, 0.167, 0.023, *---------          |                   , 0.167, 0.387
 1,    exploit/False, 20, 0.190, 0.075,  * --------         |                   , 0.167, 0.387
#
 2,    exploit/False, 25, 0.190, 0.005, -*------            |                   , 0.167, 0.388
 2,    exploit/False, 35, 0.190, 0.023,  *-----             |                   , 0.167, 0.312
#
 3,            random,30, 0.242, 0.064, -  *---             |                   , 0.167, 0.353
 3,    exploit/False, 15, 0.251, 0.035, --- *--------       |                   , 0.167, 0.463
 3,            random,35, 0.251, 0.069, -   *----           |                   , 0.167, 0.352
#
 4,            random,40, 0.254, 0.115,     *  -            |                   , 0.190, 0.355
#
 5,            random,25, 0.277, 0.054,  ----*  -           |                   , 0.167, 0.384
 5,            random,10, 0.310, 0.133,  ---   *   --       |                   , 0.195, 0.477
 5,            random,15, 0.312, 0.094,  ---   * ---        |                   , 0.167, 0.423
 5,    exploit/False, 10, 0.319, 0.075,  ----  * ---        |                   , 0.167, 0.420
#
 6,            random,20, 0.333, 0.094,  ------ *           |                   , 0.167, 0.452
#
 7,         baseline,398, 0.554, 0.159,           ----      *  ----------       , 0.167, 0.927
