#
 0,    exploit/False, 40, 0.200, 0.059,  -- *  -            |                   , 0.131, 0.283
 0,            random,40, 0.210, 0.071,      *  --          |                   , 0.175, 0.290
 0,    exploit/False, 30, 0.210, 0.041,    - * -            |                   , 0.131, 0.285
 0,            random,25, 0.214, 0.057,    --*   --         |                   , 0.175, 0.315
 0,            random,35, 0.214, 0.078,  --  *  ---         |                   , 0.131, 0.402
 0,    exploit/False, 35, 0.240, 0.043,    --  *-           |                   , 0.176, 0.281
#
 1,    exploit/False, 25, 0.242, 0.047,     -  * --         |                   , 0.176, 0.302
 1,    exploit/False, 20, 0.251, 0.052,    --   *---        |                   , 0.160, 0.356
 1,            random,30, 0.258, 0.066,    --   *--         |                   , 0.160, 0.354
 1,    exploit/False, 15, 0.259, 0.060,    --   * -         |                   , 0.131, 0.365
 1,    exploit/False, 10, 0.263, 0.117,          *   ---    |                   , 0.131, 0.449
 1,            random,15, 0.272, 0.050,    ----  * -----    |                   , 0.131, 0.370
 1,            random,20, 0.273, 0.107,    --    *  ---     |                   , 0.159, 0.382
#
 2,            random,10, 0.306, 0.041,         -- * ----   |                   , 0.159, 0.420
#
 3,        baseline,1000, 0.466, 0.114,            -------  | *   -----         , 0.159, 0.715
